Name,Symbol,Market Cap,price_last,price_52high,price_fall,div_yield,div_rate,div_growth,div_growth_year
Apple,AAPL,2.46T,148.6,151.68,-2.03%,0.59,0.88,9.3,9
Microsoft,MSFT,2.25T,299.72,305.84,-2.00%,0.75,2.24,9.24,11
Alphabet C,GOOG,1.92T,2891.01,2900.38,-0.32%,-,-,-,-
Alphabet A,GOOGL,1.92T,2880.08,2890.42,-0.36%,-,-,-,-
Amazon.com,AMZN,1.70T,3349.63,3773.08,-11.22%,-,-,-,-
Facebook,FB,1.05T,372.63,377.55,-1.30%,-,-,-,-
Tesla,TSLA,704.81B,711.92,900.4,-20.93%,-,-,-,-
Berkshire Hathaway B,BRKb,648.50B,-,-,-,0.62,0.1,-,0
Berkshire Hathaway A,BRKa,648.50B,-,-,-,1.29,0.2,-,0
NVIDIA,NVDA,564.99B,226.36,227.22,-0.38%,0.07,0.16,7.66,0
Taiwan Semiconductor,TSM,557.03B,118.49,141.12,-16.04%,1.67,1.98,13.47,2
Tencent ADR,TCEHY,550.61B,58.96,99.4,-40.68%,0.35,0.21,27.81,12
Tencent Holdings,TCTZF,550.61B,59,99.79,-40.88%,0.35,0.21,27.78,10
Visa A,V,494.89B,232.69,252.33,-7.78%,0.55,1.28,17.98,12
JPMorgan,JPM,487.22B,163.05,166.48,-2.06%,2.21,3.6,14.87,0
JPMorgan Chase Pref EE,JPM_pc,487.22B,-,-,-,-,-,-,-
J&J,JNJ,455.24B,172.93,178.93,-3.35%,2.45,4.24,5.96,59
JPMorgan Chase & Co Pg ADR,JPM_pg,450.14B,-,-,-,-,-,-,-
JPMorgan Chase & Co Ph ADR,JPM_ph,450.14B,-,-,-,-,-,-,-
Alibaba ADR,BABA,432.31B,159.47,319.32,-50.06%,-,-,-,-
Samsung Electronics Co,SSNLF,428.05B,-,-,-,2.89,1.28,-40.17,2
Walmart,WMT,410.57B,146.52,152.57,-3.97%,1.5,2.2,2.08,48
UnitedHealth,UNH,394.86B,418.76,431.36,-2.92%,1.39,5.8,19.6,12
Louis Vuitton ADR,LVMUY,370.27B,146.6,168.06,-12.77%,1.31,1.92,-17.6,4
Bank of America Corp Pe ADR,BAC_pe,357.55B,-,-,-,-,-,-,-
Bank of America Corp Pl Pref,BAC_pl,357.55B,-,-,-,-,-,-,-
Bank of America Corp Pl ADR,BML_pl,357.55B,-,-,-,-,-,-,-
Bank of America Pm,BAC_pm,357.55B,-,-,-,-,-,-,-
Bank of America,BAC,357.55B,42.49,43.49,-2.30%,1.98,0.84,29.2,0
Bank of America Corp Pg ADR,BML_pg,357.55B,-,-,-,-,-,-,-
Bank of America Corp Ph ADR,BML_ph,357.55B,-,-,-,-,-,-,-
Bank of America Corp Pj ADR,BML_pj,357.55B,-,-,-,-,-,-,-
Nestle ADR,NSRGY,351.17B,127.7,128.17,-0.37%,2.35,3,5.27,4
Nestle,NSRGF,351.17B,127.75,130,-1.73%,2.35,3.01,4.97,2
Mastercard,MA,351.03B,355.73,401.5,-11.40%,0.49,1.76,18.7,10
Roche Holding ADR,RHHBY,350.89B,50.03,51.05,-2.00%,2.44,1.22,3.7,2
Roche Holding Participation,RHHVF,350.89B,-,-,-,-,-,-,-
Procter&Gamble,PG,345.57B,142.31,145.98,-2.51%,2.44,3.48,4.5,65
Home Depot,HD,341.28B,323.38,343.89,-5.96%,2.04,6.6,19.76,8
ASML Holding,ASMLF,340.04B,822.58,833.5,-1.31%,0.45,3.74,22.02,6
ASML  ADR,ASML,340.04B,832.92,834.77,-0.22%,0.45,3.74,21.99,6
Walt Disney,DIS,327.34B,180.14,203.02,-11.27%,-,-,-,-
PayPal Holdings Inc,PYPL,327.05B,278.33,310.16,-10.26%,-,-,-,-
Adobe,ADBE,313.72B,658.52,662.61,-0.62%,-,-,-,-
Comcast,CMCSA,272.63B,59.4,60.12,-1.20%,1.68,1,8.11,4
