Name,Symbol,Market Cap,price_last,price_52high,price_fall,div_yield,div_rate,div_growth,div_growth_year
Accenture,ACN,212.85B,335.66,335.96,0.00%,1.05,3.52,9.86,10
Danaher,DHR_pa,212.06B,-,-,-,-,-,-,-
AbbVie,ABBV,211.32B,119.58,121.4,-0.01%,4.35,5.2,18.01,8
Wells Fargo Pref L,WFC_pl,204.54B,-,-,-,-,-,-,-
Wells Fargo & Co Po ADR,WFC_po,204.54B,-,-,-,-,-,-,-
Wells Fargo&Co,WFC,204.54B,49.81,51.41,-0.03%,1.61,0.8,-19.83,0
Wells Fargo Pref X,WFC_px,204.54B,-,-,-,-,-,-,-
Wells Fargo & Co Pq ADR,WFC_pq,204.54B,-,-,-,-,-,-,-
Wells Fargo Pref R,WFC_pr,204.54B,-,-,-,-,-,-,-
Wells Fargo & Co Pt ADR,WFC_pt,204.54B,-,-,-,-,-,-,-
Broadcom,AVGO,203.46B,495.94,496.445,0.00%,2.9,14.4,50,10
National Art Exchange,NAEX,200.58B,-,-,-,-,-,-,-
